context,n_5m,detector,atr_mult,buffer,r_target,min_stop_atr,trades,expectancy_r,profit_factor,win_rate_pct,max_drawdown_pct,net_return_pct,fees_paid,exposure_pct,sharpe_annualized,avg_cost_r,avg_stop_pct,trades_per_day,capped_share_pct,skipped_min_stop,ignored_in_position,pct_time_neutral_context,context_state_changes_per_week
1h_n8,3,atr,2,0,2,0,5921,-1.8793,0.3095,23.0535,-99.9998,-99.9998,6836.5079,4.4089,-14.753,1.8512,0.2960,3.0163,85.4248,0,634,39.5277,6.1620
1h_n8,3,atr,2,0,2,0.3,4792,-1.2129,0.3468,27.0033,-99.9967,-99.9967,6994.1257,4.3797,-12.417,1.1931,0.3450,2.4412,82.1995,1133,633,39.5277,6.1620
1h_n8,3,atr,2,0,2,0.5,3530,-0.9560,0.3727,29.0368,-99.9477,-99.9477,7029.0002,4.1903,-10.116,0.9235,0.4100,1.7983,76.6856,2395,631,39.5277,6.1620
1h_n8,3,atr,2,0,3,0,5816,-1.8068,0.3257,20.5812,-99.9996,-99.9996,6500.8796,6.2468,-12.405,1.8267,0.2973,2.9628,85.3336,0,1005,39.5277,6.1620
1h_n8,3,atr,2,0,3,0.3,4714,-1.1731,0.3740,22.9741,-99.9947,-99.9947,6788.6562,6.1870,-10.333,1.1889,0.3461,2.4014,82.1171,1106,1003,39.5277,6.1620
1h_n8,3,atr,2,0,3,0.5,3475,-0.9376,0.3965,23.3957,-99.9318,-99.9314,6789.5876,5.8590,-8.438,0.9221,0.4109,1.7702,76.6043,2345,997,39.5277,6.1620
1h_n8,3,atr,2,0.1,1.5,0,7002,-2.3703,0.2560,21.6795,-100.0000,-100.0000,6620.9450,3.5867,-17.557,2.2934,0.2746,3.5670,87.0180,0,533,39.5277,6.1620
1h_n8,3,atr,2,0.1,1.5,0.3,5293,-1.2638,0.2988,27.6970,-99.9992,-99.9992,6847.1257,3.5636,-14.323,1.2164,0.3372,2.6964,83.0531,1714,532,39.5277,6.1620
1h_n8,3,atr,2,0.1,1.5,0.5,3815,-0.9855,0.3095,32.0839,-99.9789,-99.9789,6623.3415,3.4222,-11.555,0.9343,0.4043,1.9435,77.3788,3192,529,39.5277,6.1620
1h_n8,3,atr,2,0.1,2,0,6934,-2.3331,0.3136,21.5460,-100.0000,-100.0000,6957.8356,4.6153,-16.071,2.2918,0.2750,3.5323,86.9339,0,761,39.5277,6.1620
1h_n8,3,atr,2,0.1,2,0.3,5243,-1.2365,0.3612,26.8358,-99.9988,-99.9988,7228.4622,4.5764,-12.957,1.2164,0.3376,2.6709,82.9487,1696,760,39.5277,6.1620
1h_n8,3,atr,2,0.1,2,0.5,3775,-0.9665,0.3841,28.9536,-99.9699,-99.9699,7217.2263,4.3623,-10.353,0.9352,0.4049,1.9231,77.2185,3164,755,39.5277,6.1620
